a1,a2,a3,net,nmi_avg,nmi_max,nmi_std,nmi_test
0.0025,0.05,0.9475,net_0,1.0,1.0000000000000002,3.2504001921624945e-17,0.9619435736149786
0.0,0.5,0.5,net_1,0.988130728699652,0.9907208108660687,0.0030890252998157577,0.9594798876322407
0.3,0.0,0.7,net_2,0.9814815486821166,0.9912396313835306,0.004746200117957908,0.9634378835651998
0.4,0.0,0.6,net_3,0.9710624079419807,0.9851750657521671,0.0057626605769669085,0.9612338013675096
9.765625000000003e-14,0.45,0.5499999999999023,net_4,0.9758426838349527,0.9842793380934078,0.005632766051177402,0.9524848147047417
0.45,0.0,0.55,net_5,0.9553737789585368,0.9674665433141889,0.005626784236015361,0.9446825910137729
0.0,0.75,0.25,net_6,0.9595196372780225,0.971565546416706,0.005699467066738786,0.9402712699782064
0.5,0.0,0.5,net_7,0.9559575481743401,0.969662056524497,0.006585790898631901,0.946482257505038
0.45,0.0,0.55,net_8,0.9428315723453482,0.9611041212339908,0.008494707875818047,0.9285697983421308
0.45,0.0,0.55,net_9,0.9488734903343216,0.9594081017030054,0.005255751826737901,0.9407944664514155
1.3671874999999998e-11,0.4,0.5999999999863281,net_10,0.9462977534683297,0.9579124690177129,0.007702704916775694,0.9347899564037485
0.6,0.0,0.4,net_11,0.9350309077676697,0.9518693345670061,0.008221413485516492,0.9323232319989527
1.1718750000000002e-10,0.35,0.6499999998828125,net_12,0.944194767979487,0.9575041589409162,0.006916401999082967,0.9100260630145925
0.0,0.6,0.4,net_13,0.9391351606943693,0.9580600685647239,0.009680075965098171,0.9318382158023203
1.2207031250000002e-18,0.65,0.35,net_14,0.9228020448091957,0.9447785643078956,0.008978514870962528,0.9271349645641968
6.103515625000001e-17,0.6,0.4,net_15,0.9148053173616093,0.9393924402064271,0.015548268432173664,0.9143093339388447
2.9296875000000005e-13,0.45,0.5499999999997071,net_16,0.9193020740580434,0.9367847623488612,0.009360801146226446,0.8841733903699195
0.0,0.45,0.55,net_17,0.9082625223471523,0.9357979466237938,0.015974996563278897,0.8854966833570027
1.1718750000000002e-11,0.4,0.5999999999882812,net_18,0.9111671907854597,0.9371574377985753,0.014760414244642993,0.9095285665424452
0.7,0.0,0.3,net_19,0.907823480457063,0.9341478659322008,0.009727420579572038,0.9112446219394428
