a1,a2,a3,net,nmi_avg,nmi_max,nmi_std,nmi_test
0.0,0.55,0.45,net_20,0.8931391456500065,0.9169832225229025,0.011653483661570662,0.8762983704047718
1.9531250000000005e-14,0.5,0.49999999999998046,net_21,0.8853454651576733,0.9068624828631933,0.011909067946109497,0.8848931343378419
6.103515625000001e-19,0.65,0.35,net_22,0.8859219113855182,0.9066003179860683,0.01455314907307182,0.8636045206752161
0.5,0.0,0.5,net_23,0.870861481709755,0.9073084683183225,0.01824365757651297,0.8639210140673714
3.906250000000001e-09,0.3,0.69999999609375,net_24,0.8565587757470553,0.8833964219328491,0.01715362589895257,0.8678078110749589
0.4,0.0,0.6,net_25,0.8557864104045787,0.8949508250331203,0.03168742231483805,0.8400244454765423
9.765625000000002e-16,0.55,0.4499999999999991,net_26,0.8236601406802744,0.9059804150542393,0.04747737019151429,0.8511700829801458
3.4179687499999996e-14,0.5,0.4999999999999659,net_27,0.7978139232118109,0.8553938408738575,0.04191609244330072,0.8290181644362641
1.4648437500000003e-14,0.5,0.49999999999998546,net_28,0.7685339702569235,0.8678126044861068,0.06277621561698243,0.80553811807896
3.906250000000001e-13,0.45,0.5499999999996094,net_29,0.7329795868113418,0.8214001608064696,0.061029858245106594,0.784740646266797
1.9531250000000006e-13,0.45,0.5499999999998046,net_30,0.6261766361266434,0.803908680112021,0.10245555295745076,0.6516436405525524
2.1484375000000002e-11,0.4,0.5999999999785157,net_31,0.48511685189267983,0.7370273555904132,0.1112019319127764,0.5283736265318967
2.4414062500000007e-14,0.5,0.4999999999999757,net_32,0.448455393716596,0.6837910456655113,0.10664344710061657,0.6583719909663361
0.65,0.0,0.35,net_33,0.3332350358819383,0.5340779012800055,0.05968682480556157,0.48899896684972893
0.75,0.0,0.25,net_34,0.27693707752877433,0.4468250434606968,0.044991134736683674,0.40801108098554
0.6,0.0,0.4,net_35,0.3006036975810085,0.48968054516133236,0.03627058100348588,0.44376840343573726
0.8,0.0,0.2,net_36,0.2459695215824935,0.3956637204061104,0.02552200914999019,0.32084869694737655
0.7,0.0,0.3,net_37,0.24199030961234508,0.3570619966806913,0.02732761269902614,0.3349588252039435
0.7,0.0,0.3,net_38,0.23592608723485833,0.2930378761511722,0.02347924581372511,0.28727677738153107
0.85,0.0,0.15,net_39,0.25651334446753793,0.32519686864956143,0.018780569081437045,0.2720512241680082
0.05,0.0,0.95,net_40,0.2310113105860753,0.2727850823465827,0.01914843327930799,0.23009397295672468
0.042499999999999996,0.05,0.9075,net_41,0.23325520984471376,0.285053972154292,0.026563498184852142,0.23835757048037684
0.7,0.0,0.3,net_42,0.22065027752327562,0.27187246719121644,0.02241762499467697,0.2136627328279273
0.04,0.05,0.9099999999999999,net_43,0.22933135782744202,0.2731310313855449,0.017523697717418175,0.22596133862143172
0.015,0.05,0.9349999999999999,net_44,0.2408337598888236,0.2827784628973483,0.02027913470528723,0.2535000384392843
1.9073486328125002e-25,0.9,0.1,net_45,0.18017568434985634,0.21956929902621475,0.01779565762277675,0.18114898215217545
0.045,0.05,0.905,net_46,0.22689273360803355,0.2799637423682346,0.024867277238557438,0.24579304565104715
0.0,0.95,0.05,net_47,0.219164617499723,0.2656005685785708,0.021244857638303333,0.2426500333285807
0.045,0.05,0.905,net_48,0.19417773479711392,0.24015520666666448,0.020666185066767342,0.19634343896306777
0.25,0.0,0.75,net_49,0.2585439938482227,0.2956974956971464,0.027905851999229965,0.27097608379068727
