net,nmi
net_0,0.8084418973468416
net_1,0.7280523988532644
net_2,0.7655735761934146
net_3,0.7340446425642112
net_4,0.7818169903460902
net_5,0.7816358144730307
net_6,0.7520472541537163
net_7,0.7134489039975686
net_8,0.7755520092879287
net_9,0.7140509301553188
net_10,0.6493585222552273
net_11,0.7027353678870433
net_12,0.7001807597342351
net_13,0.621318628118444
net_14,0.6883156184461666
net_15,0.617179234876944
net_16,0.6874459374618705
net_17,0.5771842308199038
net_18,0.5988720341291821
net_19,0.5741292232575204
net_20,0.5516470164679175
net_21,0.5820119790227697
net_22,0.5767623461596242
net_23,0.5115960885434978
net_24,0.5407523522613353
net_25,0.5572575941953651
net_26,0.5482132028591972
net_27,0.45146433062558133
net_28,0.5191376584185659
net_29,0.45312754057020316
net_30,0.5214410281185904
net_31,0.4592447123407706
net_32,0.45958216286771914
net_33,0.44349391675886723
net_34,0.4651843995109113
net_35,0.4499432223724103
net_36,0.42293828632598807
net_37,0.44695765356701916
net_38,0.4232830855097264
net_39,0.3474995951967031
net_40,0.38917144502977663
net_41,0.3371957643282095
net_42,0.3205396420171784
net_43,0.32796196085761065
net_44,0.333391398921064
net_45,0.3163011383705722
net_46,0.2650160604559468
net_47,0.333868630981788
net_48,0.28292138511326803
net_49,0.2972313860661289
