net,nmi
net_0,0.9037424171909159
net_1,0.8680767739447762
net_2,0.8884441109991422
net_3,0.8384353161739603
net_4,0.8642950046080458
net_5,0.8564032810709946
net_6,0.7937747087628536
net_7,0.8540911949387551
net_8,0.8666863055584328
net_9,0.8516151336920478
net_10,0.8388438680806068
net_11,0.8056496151930036
net_12,0.7944097881683375
net_13,0.8035264282536699
net_14,0.7427011389142568
net_15,0.7841848400176231
net_16,0.7277398004129639
net_17,0.728779818082337
net_18,0.731672565911774
net_19,0.6802793815056142
net_20,0.6591716172203278
net_21,0.6081603782767513
net_22,0.6004727887920345
net_23,0.5894926817340572
net_24,0.5940879139473175
net_25,0.5380981013097501
net_26,0.47075787486070086
net_27,0.5593730294505185
net_28,0.4792977809475867
net_29,0.4912310204660673
net_30,0.4772854479846977
net_31,0.4819964197738246
net_32,0.4764866640782444
net_33,0.4471247595388033
net_34,0.41780766070483594
net_35,0.47743844947087205
net_36,0.40209535111141353
net_37,0.37245893577681
net_38,0.38576666021395783
net_39,0.44226321906040134
net_40,0.34654218836648815
net_41,0.3670811372847773
net_42,0.37098295786999774
net_43,0.337618416755152
net_44,0.34883228977231817
net_45,0.252688760308629
net_46,0.3426166493796339
net_47,0.3366860832748777
net_48,0.26134388819068205
net_49,0.3057878901569282
